TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
BKN,10/20/2017,BKN vs. ORL,W,241,126,46,92,50,9,27,33.3,25,35,71.4,15,33,48,22,13,6,18,17,5
BKN,10/18/2017,BKN @ IND,L,241,131,45,94,47.9,12,30,40,29,32,90.6,11,32,43,22,7,2,20,25,-9
CHA,01/13/2018,CHA vs. OKC,L,242,91,33,83,39.8,9,28,32.1,16,23,69.6,9,41,50,16,3,7,14,15,-10
CHA,04/10/2018,CHA @ IND,W,240,119,46,99,46.5,18,42,42.9,9,12,75,13,42,55,27,5,7,6,8,26
CHA,04/06/2018,CHA @ ORL,W,239,137,48,86,55.8,17,31,54.8,24,26,92.3,9,41,50,32,4,5,9,15,37
CHA,04/03/2018,CHA @ CHI,L,240,114,40,81,49.4,13,34,38.2,21,28,75,10,39,49,24,3,4,20,16,-6
CHA,04/01/2018,CHA vs. PHI,L,240,102,33,82,40.2,9,30,30,27,34,79.4,9,31,40,17,8,7,16,13,-17
CHA,03/31/2018,CHA @ WAS,L,240,93,35,77,45.5,6,23,26.1,17,27,63,9,37,46,22,6,2,17,14,-14
CHA,03/28/2018,CHA vs. CLE,L,240,105,39,76,51.3,5,21,23.8,22,24,91.7,6,34,40,20,2,2,13,16,-13
CHA,03/26/2018,CHA vs. NYK,W,266,137,51,93,54.8,11,28,39.3,24,28,85.7,11,32,43,25,5,4,14,12,9
CHA,03/24/2018,CHA @ DAL,W,239,102,35,92,38,12,25,48,20,29,69,13,49,62,21,10,4,13,14,4
CHA,03/22/2018,CHA vs. MEM,W,240,140,49,92,53.3,19,40,47.5,23,27,85.2,11,42,53,25,10,4,8,17,61
CHA,03/21/2018,CHA @ BKN,W,239,111,36,94,38.3,3,16,18.8,36,47,76.6,23,45,68,18,3,2,13,16,6
CHA,03/19/2018,CHA @ PHI,L,240,94,32,84,38.1,6,22,27.3,24,30,80,6,33,39,16,8,4,9,12,-14
CHA,03/17/2018,CHA @ NYK,L,241,101,33,90,36.7,9,33,27.3,26,32,81.3,13,37,50,11,7,5,10,13,-23
CHA,03/15/2018,CHA @ ATL,W,239,129,46,87,52.9,17,33,51.5,20,30,66.7,6,39,45,30,3,3,10,21,12
CHA,03/13/2018,CHA @ NOP,L,241,115,45,93,48.4,7,26,26.9,18,22,81.8,8,37,45,22,8,9,13,13,-4
CHA,03/10/2018,CHA vs. PHX,W,239,122,44,87,50.6,13,32,40.6,21,27,77.8,7,34,41,24,11,5,12,18,5
